,countyid,latitude,laccell,procedurestarttime,longitude,time
123,110102,39.913122599750146,412418330379,1644229097624,116.35644450890183,2022-02-07 18:18:17
124,110102,39.91272026454238,4124226590409,1644229099784,116.35413209844971,2022-02-07 18:18:19
125,110102,39.91267843349719,412417350414,1644229102358,116.35616136304431,2022-02-07 18:18:22
126,110102,39.91242944525336,412417350421,1644229536973,116.35616059606346,2022-02-07 18:25:36
127,110102,39.91081037738757,412418330380,1644229677164,116.35524013741313,2022-02-07 18:27:57
128,110102,39.910873197235055,412418330390,1644229681704,116.3550911965695,2022-02-07 18:28:01
129,110102,39.91272026454238,4124226590409,1644229697163,116.35413209844971,2022-02-07 18:28:17
130,110102,39.91081037738757,412418330380,1644229702464,116.35524013741313,2022-02-07 18:28:22
131,110102,39.912693806221554,412418602241,1644229711124,116.35734959019919,2022-02-07 18:28:31
132,110102,39.912699793054166,412418602244,1644229738978,116.35735857395673,2022-02-07 18:28:58
133,110102,39.91076033118944,412418602249,1644229740698,116.35388080729656,2022-02-07 18:29:00
134,110102,39.91077422808866,412418602243,1644229745919,116.35474024136505,2022-02-07 18:29:05
135,110102,39.91268839513264,412418602281,1644229826398,116.35477413675584,2022-02-07 18:30:26
136,110102,39.91276784843658,4124128395396,1644229938019,116.35908573946499,2022-02-07 18:32:18
137,110102,39.914822959564155,412425135049,1644230015631,116.35923093661158,2022-02-07 18:33:35
138,110102,39.91698599844144,4112129606793,1644230108603,116.35842201509115,2022-02-07 18:35:08
139,110102,39.917094046236215,411218313992,1644230179448,116.35838486405378,2022-02-07 18:36:19
140,110102,39.92244401565627,4112129212803,1644230257429,116.35896101580765,2022-02-07 18:37:37
141,110102,39.92248312149317,411219025411,1644230317948,116.35852693856822,2022-02-07 18:38:37
142,110102,39.925104239638934,4163127288723,1644230345177,116.36009810172762,2022-02-07 18:39:05
143,110102,39.92869259376531,416389745100,1644230470103,116.36143859273056,2022-02-07 18:41:10
144,110102,39.929987354612315,416317933314,1644230507989,116.3615798048744,2022-02-07 18:41:47
145,110102,39.93261653584557,4163129610377,1644230540958,116.36189357719256,2022-02-07 18:42:20
146,110102,39.93700298061974,4163129199236,1644230563649,116.362337826812,2022-02-07 18:42:43
147,110102,39.939190524710845,416321571585,1644230670784,116.36177682235429,2022-02-07 18:44:30
148,110102,39.93940460534461,416391216843,1644230678500,116.36239892618363,2022-02-07 18:44:38
149,110106,39.94521605456322,4138226586318,1644230791708,116.36319396806721,2022-02-07 18:46:31
150,110102,39.94339639116071,413817948168,1644230824788,116.36054864082254,2022-02-07 18:47:04
151,110102,39.94577250431463,413820190778,1644231005772,116.36084056841493,2022-02-07 18:50:05
152,110102,39.94663232754938,413825848780,1644231038157,116.36602465092406,2022-02-07 18:50:38
153,110108,39.94700125264803,41385152570,1644231095909,116.36532060333307,2022-02-07 18:51:35
154,110106,39.94725449644825,4138226586316,1644231130718,116.36611484494316,2022-02-07 18:52:10
155,110102,39.9463062381937,413825848777,1644231133857,116.36602658979828,2022-02-07 18:52:13
156,110108,39.94700125264803,41385152570,1644231146023,116.36532060333307,2022-02-07 18:52:26
157,110102,39.94734607279025,413817990174,1644231191442,116.37364147107384,2022-02-07 18:53:11
158,110102,39.947530882100764,413817990146,1644231239708,116.37712266971032,2022-02-07 18:53:59
159,110102,39.94757887159006,4178227897294,1644231289731,116.38698940952943,2022-02-07 18:54:49
160,110101,39.94763657189448,434625654473,1644231310731,116.39213222707352,2022-02-07 18:55:10
161,110101,39.94765520763081,4346129144963,1644231323911,116.3954162302357,2022-02-07 18:55:23
162,110101,39.94774558001998,434619072309,1644231356888,116.40053700526914,2022-02-07 18:55:56
163,110101,39.94984602302642,434625656259,1644231415495,116.40201946772218,2022-02-07 18:56:55
164,110101,39.95177702382519,4346129798789,1644231435851,116.40192748460886,2022-02-07 18:57:15
165,110101,39.95180822511074,4346227052238,1644231443853,116.40193758461237,2022-02-07 18:57:23
166,110101,39.955487054691446,4203227107019,1644231455851,116.40183447433043,2022-02-07 18:57:35
167,110101,39.957557256819335,4203129537160,1644231478173,116.4017674839437,2022-02-07 18:57:58
168,110105,39.969396419731396,441119143739,1644232182758,116.40265203453612,2022-02-07 19:09:42
169,110105,39.9691148092599,4411227131593,1644247170498,116.40416939667458,2022-02-07 23:19:30
170,110105,39.969396419731396,441119143739,1644248893212,116.40265203453612,2022-02-07 23:48:13
