,d12,d23,d13,node2,angle,latitude,longitude,time
17,240.7214028867152,13.453831211927117,227.41137489379344,"(39.932038617983075, 116.39682752289468)",8.147886472123373,39.932038617983075,116.39682752289468,2022-02-07 08:16:12
18,13.453831211927117,323.8868857400177,310.5458966840355,"(39.93205462138869, 116.39698353851412)",7.270569332198389,39.93205462138869,116.39698353851412,2022-02-07 08:16:20
19,323.8868857400177,86.05946067136044,409.9384790884758,"(39.932038324867605, 116.39319449165276)",179.12837984366922,39.932038324867605,116.39319449165276,2022-02-07 08:16:41
20,86.05946067136044,160.01367355889212,246.01682829298468,"(39.93202218426632, 116.39218791299142)",177.42972547239214,39.93202218426632,116.39218791299142,2022-02-07 08:16:51
21,160.01367355889212,362.2216734464453,522.1634063226985,"(39.93205679367043, 116.39031647617894)",177.93698586483345,39.93205679367043,116.39031647617894,2022-02-07 08:16:54
22,362.2216734464453,229.5908804096015,591.8028005152207,"(39.9320175730558, 116.38607920386258)",179.32492633770983,39.9320175730558,116.38607920386258,2022-02-07 08:17:37
23,229.5908804096015,241.0082010241226,470.3326281224294,"(39.93201699510911, 116.38339325449054)",176.14254623028447,39.93201699510911,116.38339325449054,2022-02-07 08:17:58
24,241.0082010241226,227.8130330963338,468.820915269451,"(39.931870297579216, 116.38058018509254)",179.8663643960616,39.931870297579216,116.38058018509254,2022-02-07 08:18:13
25,227.8130330963338,242.60391570266518,470.4145938666901,"(39.931726792553704, 116.37792156975927)",179.63726687775872,39.931726792553704,116.37792156975927,2022-02-07 08:19:39
26,242.60391570266518,132.9949019154312,375.4426605430951,"(39.931560106302065, 116.37509166905764)",176.54510650518796,39.931560106302065,116.37509166905764,2022-02-07 08:19:56
27,132.9949019154312,218.36529598612648,350.6251611702227,"(39.93139689436317, 116.37355030533045)",172.35717498690587,39.93139689436317,116.37355030533045,2022-02-07 08:21:43
28,218.36529598612648,121.55811351743587,339.88647314066935,"(39.93139037235046, 116.37099571952331)",178.23771502738774,39.93139037235046,116.37099571952331,2022-02-07 08:22:04
29,121.55811351743587,376.0125093560262,497.5706166903551,"(39.931353051334696, 116.36957446917967)",179.9785618822075,39.931353051334696,116.36957446917967,2022-02-07 08:22:11
30,376.0125093560262,281.2277240817373,657.2188114230419,"(39.93123625517646, 116.36517821812794)",179.06503204714699,39.93123625517646,116.36517821812794,2022-02-07 08:22:33
31,281.2277240817373,521.9286261751084,652.5007823900289,"(39.931107498371865, 116.36189247119552)",104.65261890915161,39.931107498371865,116.36189247119552,2022-02-07 08:22:46
32,521.9286261751084,453.72843211403324,955.1804661369276,"(39.92650513460223, 116.36065042882255)",156.4229618783172,39.92650513460223,116.36065042882255,2022-02-07 08:27:10
33,453.72843211403324,334.68765183026886,464.4188872696048,"(39.92250565123134, 116.36173940682627)",70.33613255074711,39.92250565123134,116.36173940682627,2022-02-07 08:28:15
34,334.68765183026886,200.28545356290385,313.01300781920025,"(39.92291594569687, 116.35786091256857)",66.17608946120522,39.92291594569687,116.35786091256857,2022-02-07 08:28:28
35,200.28545356290385,125.71044482417551,321.47685733109455,"(39.92118200383999, 116.35850673820964)",160.3721914223526,39.92118200383999,116.35850673820964,2022-02-07 08:30:21
36,125.71044482417551,338.6611903701135,464.1745266475041,"(39.92005208172723, 116.35841373884219)",176.24261065229908,39.92005208172723,116.35841373884219,2022-02-07 08:30:44
37,338.6611903701135,55.65931052053228,393.4229250564589,"(39.91700199664661, 116.358422811711)",168.88575249173311,39.91700199664661,116.358422811711,2022-02-07 08:30:59
38,55.65931052053228,236.54945076144833,292.1370559137512,"(39.916509892239866, 116.35829878387919)",176.76732745616934,39.916509892239866,116.35829878387919,2022-02-07 08:31:03
39,236.54945076144833,195.62555389129037,431.413628310855,"(39.91439891007517, 116.35792568596858)",173.16624511379896,39.91439891007517,116.35792568596858,2022-02-07 08:31:37
